y,Sb
0.3145,0.480336
0.3135,0.480895
0.3125,0.481443
0.3115,0.481981
0.3105,0.482507
0.3095,0.483023
0.3085,0.483528
0.3075,0.484022
0.3065,0.484506
0.3055,0.48498
0.3045,0.485443
0.3035,0.485895
0.3025,0.486338
0.3015,0.48677
0.3005,0.487193
0.2995,0.487606
0.2985,0.488009
0.2975,0.488402
0.2965,0.488786
0.2955,0.48916
0.2945,0.489525
0.2935,0.489881
0.2925,0.490227
0.2915,0.490565
0.2905,0.490894
0.2895,0.491214
0.2885,0.491526
0.2875,0.491829
0.2865,0.492124
0.2855,0.492411
0.2845,0.492689
0.2835,0.49296
0.2825,0.493223
0.2815,0.493478
0.2805,0.493726
0.2795,0.493966
0.2785,0.494199
0.2775,0.494425
0.2765,0.494644
0.2755,0.494856
0.2745,0.495061
0.2735,0.49526
0.2725,0.495453
0.2715,0.495639
0.2705,0.495819
0.2695,0.495993
0.2685,0.496161
0.2675,0.496323
0.2665,0.49648
0.2655,0.496631
0.2645,0.496777
0.2635,0.496917
0.2625,0.497053
0.2615,0.497184
0.2605,0.497309
0.2595,0.497431
0.2585,0.497547
0.2575,0.497659
0.2565,0.497767
0.2555,0.497871
0.2545,0.497971
0.2535,0.498066
0.2525,0.498158
0.2515,0.498246
0.2505,0.498331
0.2495,0.498412
0.2485,0.49849
0.2475,0.498564
0.2465,0.498635
0.2455,0.498704
0.2445,0.498769
0.2435,0.498831
0.2425,0.498891
0.2415,0.498948
0.2405,0.499003
0.2395,0.499055
0.2385,0.499104
0.2375,0.499152
0.2365,0.499197
0.2355,0.49924
0.2345,0.499281
0.2335,0.49932
0.2325,0.499358
0.2315,0.499393
0.2305,0.499427
0.2295,0.499459
0.2285,0.499489
0.2275,0.499518
0.2265,0.499546
0.2255,0.499572
0.2245,0.499596
0.2235,0.49962
0.2225,0.499642
0.2215,0.499663
0.2205,0.499683
0.2195,0.499702
0.2185,0.49972
0.2175,0.499737
0.2165,0.499753
0.2155,0.499768
0.2145,0.499782
0.2135,0.499796
0.2125,0.499808
0.2115,0.49982
0.2105,0.499832
0.2095,0.499842
0.2085,0.499852
0.2075,0.499862
0.2065,0.499871
0.2055,0.499879
0.2045,0.499887
0.2035,0.499895
0.2025,0.499901
0.2015,0.499908
0.2005,0.499914
0.1995,0.49992
0.1985,0.499925
0.1975,0.49993
0.1965,0.499935
0.1955,0.49994
0.1945,0.499944
0.1935,0.499948
0.1925,0.499951
0.1915,0.499955
0.1905,0.499958
0.1895,0.499961
0.1885,0.499964
0.1875,0.499966
0.1865,0.499969
0.1855,0.499971
0.1845,0.499973
0.1835,0.499975
0.1825,0.499977
0.1815,0.499979
0.1805,0.49998
0.1795,0.499982
0.1785,0.499983
0.1775,0.499984
0.1765,0.499986
0.1755,0.499987
0.1745,0.499988
0.1735,0.499989
0.1725,0.499989
0.1715,0.49999
0.1705,0.499991
0.1695,0.499992
0.1685,0.499992
0.1675,0.499993
0.1665,0.499994
0.1655,0.499994
0.1645,0.499995
0.1635,0.499995
0.1625,0.499995
0.1615,0.499996
0.1605,0.499996
0.1595,0.499996
0.1585,0.499997
0.1575,0.499997
0.1565,0.499997
0.1555,0.499998
0.1545,0.499998
0.1535,0.499998
0.1525,0.499998
0.1515,0.499998
0.1505,0.499998
0.1495,0.499999
0.1485,0.499999
0.1475,0.499999
0.1465,0.499999
0.1455,0.499999
0.1445,0.499999
0.1435,0.499999
0.1425,0.499999
0.1415,0.499999
0.1405,0.5
0.1395,0.5
0.1385,0.5
0.1375,0.5
0.1365,0.5
0.1355,0.5
0.1345,0.5
0.1335,0.5
0.1325,0.5
0.1315,0.500001
0.1305,0.500001
0.1295,0.500001
0.1285,0.500001
0.1275,0.500001
0.1265,0.500002
0.1255,0.500002
0.1245,0.500002
0.1235,0.500003
0.1225,0.500003
0.1215,0.500004
0.1205,0.500004
0.1195,0.500005
0.1185,0.500006
0.1175,0.500007
0.1165,0.500008
0.1155,0.50001
0.1145,0.500012
0.1135,0.500013
0.1125,0.500016
0.1115,0.500019
0.1105,0.500022
0.1095,0.500025
0.1085,0.50003
0.1075,0.500035
0.1065,0.500041
0.1055,0.500048
0.1045,0.500056
0.1035,0.500066
0.1025,0.500077
0.1015,0.500091
0.1005,0.500106
0.0995,0.500124
0.0985,0.500146
0.0975,0.500171
0.0965,0.5002
0.0955,0.500234
0.0945,0.500274
0.0935,0.500321
0.0925,0.500377
0.0915,0.500441
0.0905,0.500517
0.0895,0.500605
0.0885,0.500709
0.0875,0.500831
0.0865,0.500973
0.0855,0.50114
0.0845,0.501335
0.0835,0.501563
0.0825,0.501831
0.0815,0.502144
0.0805,0.502511
0.0795,0.502941
0.0785,0.503443
0.0775,0.504032
0.0765,0.50472
0.0755,0.505525
0.0745,0.506467
0.0735,0.507568
0.0725,0.508855
0.0715,0.510359
0.0705,0.512116
0.0695,0.514166
0.0685,0.516559
0.0675,0.519348
0.0665,0.522598
0.0655,0.52638
0.0645,0.530777
0.0635,0.535882
0.0625,0.5418
0.0615,0.54865
0.0605,0.55656
0.0595,0.565673
0.0585,0.576143
0.0575,0.58813
0.0565,0.6018
0.0555,0.617315
0.0545,0.634823
0.0535,0.654446
0.0525,0.676255
0.0515,0.70024
0.0505,0.726275
